timer,has_round_started,is_round_over,player_id_1,health_1,x_coord_1,y_coord_1,is_jumping_1,is_crouching_1,up_1,down_1,right_1,left_1,select_1,start_1,Y_1,B_1,X_1,A_1,L_1,R_1,is_player_in_move_1,move_id_1,player_id_2,health_2,x_coord_2,y_coord_2,is_jumping_2,is_crouching_2,up_2,down_2,right_2,left_2,select_2,start_2,Y_2,B_2,X_2,A_2,L_2,R_2,is_player_in_move_2,move_id_2,x_distance
153,0,0,7,176,205,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
153,0,0,7,176,205,192,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,176,307,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
